nom,date,national_cumulative_confirmed_cases
Mawuya,17/05/2026,13
Zongo,17/05/2026,13
Libenge,17/05/2026,13
Bili (Nord-Ubangi),17/05/2026,13
Gbadolite,17/05/2026,13
Mobayi Mbongo,17/05/2026,13
Yakoma,17/05/2026,13
Monga,17/05/2026,13
Bondo,17/05/2026,13
Bili (Bas-Uele),17/05/2026,13
Ango,17/05/2026,13
Opala,17/05/2026,13
Kahemba,17/05/2026,13
Gungu,17/05/2026,13
Kitangwa,17/05/2026,13
Mukedi,17/05/2026,13
Kongolo,17/05/2026,13
Mbulula,17/05/2026,13
Kabalo,17/05/2026,13
Bukama,17/05/2026,13
Kabondo Dianda,17/05/2026,13
Kabongo,17/05/2026,13
Songa,17/05/2026,13
Kayamba,17/05/2026,13
Kitenge,17/05/2026,13
Ankoro,17/05/2026,13
Mulongo,17/05/2026,13
Lwamba,17/05/2026,13
Mukanga,17/05/2026,13
Malemba,17/05/2026,13
Kinda,17/05/2026,13
Kamina,17/05/2026,13
Kikwit-Sud,17/05/2026,13
Kenya,17/05/2026,13
Kamalondo,17/05/2026,13
Tshamilemba,17/05/2026,13
Pweto,17/05/2026,13
Lukafu,17/05/2026,13
Mufunga Sampwe,17/05/2026,13
Kilwa,17/05/2026,13
Kapolowe,17/05/2026,13
Panda,17/05/2026,13
Kashobwe,17/05/2026,13
Kampemba,17/05/2026,13
Rwashi,17/05/2026,13
Bena Tshiadi,17/05/2026,13
Yangala,17/05/2026,13
Ilebo,17/05/2026,13
Luebo,17/05/2026,13
Bena Leka,17/05/2026,13
Muetshi,17/05/2026,13
Tshikula,17/05/2026,13
Dibaya,17/05/2026,13
Kalomba,17/05/2026,13
Tshibala,17/05/2026,13
Mushenge,17/05/2026,13
Bulape,17/05/2026,13
Masuika,17/05/2026,13
Luiza,17/05/2026,13
Katoka,17/05/2026,13
Ndesha,17/05/2026,13
Tshikaji,17/05/2026,13
Bilomba,17/05/2026,13
Ndekesha,17/05/2026,13
Bunkonde,17/05/2026,13
Mikalayi,17/05/2026,13
Luambo,17/05/2026,13
Katende,17/05/2026,13
Ndjoko-Mpunda,17/05/2026,13
Lubondaie,17/05/2026,13
Kakenge,17/05/2026,13
Rwampara,17/05/2026,13
Bunia,17/05/2026,13
Jiba,17/05/2026,13
Linga,17/05/2026,13
Mangala,17/05/2026,13
Damas,17/05/2026,13
Fataki,17/05/2026,13
Drodro,17/05/2026,13
Tchomia,17/05/2026,13
Rethy,17/05/2026,13
Nyakunde,17/05/2026,13
Nizi,17/05/2026,13
Bambu,17/05/2026,13
Kilo,17/05/2026,13
Mongbalu,17/05/2026,13
Komanda,17/05/2026,13
Gethy,17/05/2026,13
Boga,17/05/2026,13
Nia-Nia,17/05/2026,13
Mandima,17/05/2026,13
Lolwa,17/05/2026,13
Lita,17/05/2026,13
Boma-Mangbetu,17/05/2026,13
Isiro,17/05/2026,13
Wamba,17/05/2026,13
Doruma,17/05/2026,13
Pawa,17/05/2026,13
Niangara,17/05/2026,13
Rungu,17/05/2026,13
Mambasa,17/05/2026,13
Rimba,17/05/2026,13
Logo,17/05/2026,13
Angumu,17/05/2026,13
Nyarambe,17/05/2026,13
Mahagi,17/05/2026,13
Makoro,17/05/2026,13
Kambala,17/05/2026,13
Biringi,17/05/2026,13
Laybo,17/05/2026,13
Ariwara,17/05/2026,13
Adi,17/05/2026,13
Aru,17/05/2026,13
Adja,17/05/2026,13
Aungba,17/05/2026,13
Faradje,17/05/2026,13
Gombari,17/05/2026,13
Dungu,17/05/2026,13
Watsa,17/05/2026,13
Demba,17/05/2026,13
Mutoto,17/05/2026,13
Lubunga (Kasaï-Central),17/05/2026,13
Kananga,17/05/2026,13
Maluku II,17/05/2026,13
Nselo,17/05/2026,13
Lomela,17/05/2026,13
Nioki,17/05/2026,13
Bolobo,17/05/2026,13
Mushie,17/05/2026,13
Kwamouth,17/05/2026,13
Mokala,17/05/2026,13
Kisanji,17/05/2026,13
Lukonga,17/05/2026,13
Tunda,17/05/2026,13
Bosobolo,17/05/2026,13
Businga,17/05/2026,13
Boto,17/05/2026,13
Lisala,17/05/2026,13
Ndage,17/05/2026,13
Mwela Lembwa,17/05/2026,13
Kingabwa,17/05/2026,13
Likati,17/05/2026,13
Yahuma,17/05/2026,13
Ikela,17/05/2026,13
Lubunga (Tshopo),17/05/2026,13
Ubundu,17/05/2026,13
Kailo,17/05/2026,13
Ototo,17/05/2026,13
Tshumbe,17/05/2026,13
Lusangi,17/05/2026,13
Bobozo,17/05/2026,13
Punia,17/05/2026,13
Kyondo,17/05/2026,13
Mabalako,17/05/2026,13
Biena,17/05/2026,13
Masereka,17/05/2026,13
Lubero,17/05/2026,13
Manguredjipa,17/05/2026,13
Mutwanga,17/05/2026,13
Kamango,17/05/2026,13
Oicha,17/05/2026,13
Binza,17/05/2026,13
Rwanguba,17/05/2026,13
Rutshuru,17/05/2026,13
Birambizo,17/05/2026,13
Beni,17/05/2026,13
Vuhovi,17/05/2026,13
Musienene,17/05/2026,13
Butembo,17/05/2026,13
Katwa,17/05/2026,13
Kayna,17/05/2026,13
