,nom,pop_density
491,Makanza,18.4258771093135
492,Bomongo,10.6061435100269
493,Lolanga Mampoko,12.8480938855709
494,Penjwa,21.1854675020407
495,Bokungu,29.8486530369689
496,Wema,15.7434543244541
497,Befale,14.2629911026389
498,Lotumbe,9.02034800023963
499,Monkoto,5.87075913414612
500,Djombo,16.258234068263
501,Bongandanga,9.08046871817341
502,Lingomo,22.775696110563
503,Basankusu,19.5351484341595
504,Boende,34.2042286748333
505,Mompono,20.8289089467217
506,Monieka,8.32098275988103
507,Banjow Moke,30.7050370444179
508,Inongo,15.6176654299155
509,Wangata,3750.01315994301
510,Bolenge,61.7470835420949
511,Bolomba,18.0319922136942
512,Ingende,35.7679364691016
513,Iboko,35.5178640124895
514,Irebu,21.7839105122046
515,Mbandaka,208.586533926353
516,Lukolela,27.9868648087758
517,Bikoro,37.1024021635202
518,Ntondo,15.8647225406939
519,Lilanga Bobangi,5.29362000066287
