,nom,socioeconomic_deprivation
356,Bolobo,0.809385287682703
357,Mushie,0.875264391748884
358,Kwamouth,0.853139383717425
359,Mokala,0.882000029087067
360,Kisanji,0.88088320118373
361,Lukonga,0.859384541320174
362,Tunda,0.882000029087064
363,Bosobolo,0.88243161890988
364,Businga,0.882000029087067
365,Boto,0.867543357293171
366,Lisala,0.88096931899382
367,Ndage,0.881316961817731
368,Mwela Lembwa,0.881900820613777
369,Kingabwa,0.701913855161555
370,Likati,0.882000029087067
371,Yahuma,0.871294797505125
372,Ikela,0.882000029087065
373,Lubunga (Tshopo),0.834691042370621
374,Ubundu,0.8671604135
375,Kailo,0.881816576285485
376,Ototo,0.882000029087067
377,Tshumbe,0.882000029087066
378,Lusangi,0.882000029087066
379,Bobozo,0.860809697456825
380,Punia,0.866607697593128
381,Kyondo,0.806263921278604
382,Mabalako,0.811608553728303
383,Biena,0.851337365998999
384,Masereka,0.81376430521834
385,Lubero,0.822920120824035
386,Manguredjipa,0.870811510030061
387,Mutwanga,0.810267601086775
388,Kamango,0.79237314092331
389,Oicha,0.820186738181344
390,Binza,0.750715990181298
391,Rwanguba,0.722454699700279
392,Rutshuru,0.733897545996239
393,Birambizo,0.790203949381816
394,Beni,0.813980094353827
395,Vuhovi,0.809727900587571
396,Musienene,0.830812051188427
397,Butembo,0.81088028935313
398,Katwa,0.810272163413252
399,Kayna,0.844901775040102
400,Goma,0.692590947554666
401,Karisimbi,0.68805207756402
402,Kibua,0.872486568755008
403,Masisi,0.85621048884206
404,Mweso,0.820182386974215
405,Kirotshe,0.787552592836558
406,Pinga,0.865906364631889
407,Walikale,0.845387849484653
408,Kibirizi,0.825788179402947
409,Kalunguta,0.812075840704772
410,Alimbongo,0.838013537538083
411,Nyiragongo,0.695467155141214
412,Katoyi,0.838558402190105
413,Bambo,0.767726629208769
414,Itebero,0.873016692439218
415,Mwana,0.827362642754086
416,Kaziba,0.835083865734895
417,Nyantende,0.817481119450264
418,Nyangezi,0.852655592756418
419,Kabare,0.799668480716592
420,Mubumbano,0.826625937351868
421,Walungu,0.813850681053453
422,Hauts-Plateaux,0.882228189132492
423,Kaniola,0.842753389389367
424,Kalonge,0.826213735357902
425,Bunyakiri,0.847575865624223
426,Uvira,0.90929242026187
427,Kitutu,0.858237886670628
428,Kamituga,0.851620708396915
429,Itombwe,0.865822513714661
430,Minembwe,0.870545627750105
431,Nundu,0.908403659756985
432,Ruzizi,0.906331392025369
433,Lemera,0.890243682633404
434,Fizi,0.87207003033621
435,Shabunda,0.877582989927871
436,Lulingu,0.881005942051221
437,Kalole,0.881136059018331
438,Mwenga,0.851108426193654
439,Mulungu,0.88072875948761
440,Bagira,0.801776776072433
441,Kadutu,0.805681794105287
442,Ibanda,0.808231459994756
443,Katana,0.780152371196292
444,Lualaba,0.780301835436627
445,Kafakumba,0.881918085646215
446,Kanzenze,0.840737974314451
447,Kasaji,0.864365666790467
448,Dilolo,0.643973024913305
449,Sandoa,0.871909533122199
450,Kalamba,0.879915201919759
451,Lubudi,0.848914825004406
452,Bunkeya,0.841691640199381
453,Fungurume,0.798931914366572
454,Kambove,0.792515806787282
455,Lubumbashi,0.763315329664391
456,Kisanga,0.752972956245082
457,Katuba,0.763640341399813
458,Mumbunda,0.754325030089337
459,Kipushi,0.761364991408251
460,Sakania,0.776054110148451
461,Kafubu,0.795914138860981
462,Kilela Balanda,0.814529610196324
463,Manika,0.83050895684727
464,Vangu,0.765559014604616
465,Kowe,0.763063353132128
466,Mitwaba,0.868644603634783
467,Gombe,0.672011031806065
468,Minova,0.772092518495235
469,Kalehe,0.806657266718704
470,Miti-Murhesa,0.783131247797329
471,Idjwi,0.735004130389477
